Building Code,E (kWh),G(therms),O(gallon)
724,"64,473.00",,
727,"164,811.00","12,811.00",
730,"10,498.00",25,"5,252.60"
731,"4,052.00",,"2,578.50"
732,"4,305.00","3,852.00",
733,"16,471.00","3,400.00",
734,"52,501.00",898,
736,"18,440.00",,"2,682.90"
738,"32,461.00",454,
739,"14,550.00","7,192.00",
740,"31,320.00","9,676.00",
741,"16,661.00",,"1,664.30"
742,"89,440.00","16,446.00",
743,"34,121.00","13,974.00",
744,"59,469.00",,
745,"16,567.00",,"1,902.50"
746,"12,824.00","5,560.00",
747,"17,147.00",,
748,"54,589.00","10,575.00",
750,"66,696.00",764,
751,"185,760.00","47,921.00",
753,"22,675.00","4,053.00",
754,"947,540.00","116,521.00",
756,"255,621.00",,
758,"815,284.00","73,991.00",
761,"8,754,481.00","87,476.00",
762,"1,016,280.00","85,515.00",
763,"65,000.00",161,
770,"9,002.00",12,"2,313.60"
771,"8,938.00",,"1,791.70"
772,"12,754.00",11,"2,252.00"
773,"28,664.00","8,517.00",
774,"12,931.00","2,727.00",
775,"22,508.00",,"3,671.80"
776,"24,241.00","3,572.00",
777,"24,373.00","1,833.00",
779,"19,280.00","2,299.00",
780,"152,802.00","5,749.00",
781,"53,518.00",,
782,"41,299.00",,
783,"102,818.00","32,608.00",
784,"21,520.00","16,629.00",
785,"36,920.00",,"10,921.90"
786,"815,005.00","30,901.00",
787,"16,040.00","4,090.00",
788,"53,840.00","12,357.00",
790,"64,440.00",734,
791,"511,680.00","39,198.00",
792,-,,811.7
795,"12,835.00",,"3,875.20"
796,"12,829.00",,"4,370.30"
797,"5,640.00","2,725.00",
798,"13,714.00","4,459.00",
799,"41,440.00","13,846.00",
801,"23,608.00","4,299.00",
802,"14,298.00",,
803,"65,520.00","18,373.00",
804,"23,960.00","5,995.00",
805,"14,760.00",,"1,980.70"
806,"21,783.00","3,762.00",
807,"17,954.00","6,920.00",
808,"18,246.00","5,419.00","2,019.60"
809,"14,668.00",,"1,979.10"
810,"25,700.00",,"3,660.90"
811,"41,281.00","4,665.00",
812,344,77,
813,"15,191.00",16,
816,"7,363,681.00","180,602.00",
819,"49,224.00","13,520.00",
820,"3,639.00",912,"1,689.00"
821,"127,960.00","10,178.00",
822,"28,407.00",,"4,884.40"
823,"12,985.00",229,"1,089.30"
824,"22,788.00",,
825,,"7,389.00",
826,"17,824.00","6,168.00",
827,"621,144.00","2,864.00",
828,"21,962.00",,"2,252.70"
829,"12,884.00",,"2,644.10"
830,"11,142.00",739,
831,"28,526.00","3,052.00",
832,"11,692.00",,180.7
833,"14,305.00","1,425.00",
834,"9,479.00","1,873.00",
835,"15,291.00","5,545.00",
837,"13,072.00",,"2,569.20"
840,"7,277.00",,"5,885.30"
842,"17,003.00","15,977.00",
843,"6,353.00","7,287.00",
845,"15,037.00","5,139.00",
847,"39,166.00","21,332.00",
848,"11,573.00",,"2,799.20"
849,"3,963.00",415,
851,"5,992.00",-,"2,129.20"
896,"19,279,200.00","2,210,010.00",
899,"309,560.00",,
900,"12,835,200.00",,
925,"13,240.00",,
930,"548,040.00",,
937,"272,973.00","10,085.00",
939,"16,006.00","3,069.00",
952,"375,960.00","21,498.00",
953,"23,740.00","3,389.00",
954,"29,110.00","3,835.00",
955,"29,448.00",,
956,"37,320.00",,
957,"7,246,560.00","24,103.00",
961,"1,104,060.00",,
962,"791,546.00",471,
964,"79,974.00","4,200.00",
966,"318,865.00","2,930.00",
517,,,"2,116.50"
